"org.junit.internal.runners.JUnit4ClassRunner:invokeTestMethod","org.junit.internal.runners.JUnit4ClassRunner:createTest"
"org.junit.internal.TextListener:testRunFinished","org.junit.runner.Result:getRunTime"
"org.junit.internal.runners.MethodRoadie:run","org.junit.runner.notification.RunNotifier:fireTestFinished"
"org.junit.internal.TextListener:printFooter","org.junit.runner.Result:wasSuccessful"
"org.junit.runner.JUnitCore:runMain","org.junit.runner.Result:getFailures"
"junit.runner.BaseTestRunner:getTest","junit.runner.BaseTestRunner:runFailed"
"junit.framework.JUnit4TestAdapter:getTests","junit.framework.JUnit4TestAdapterCache:asTestList"
"org.junit.internal.runners.CompositeRunner:filter","org.junit.runner.manipulation.Filter:shouldRun"
"junit.textui.ResultPrinter:printFailures","junit.framework.TestResult:failures"
"org.junit.internal.requests.FilterRequest:getRunner","org.junit.runner.manipulation.Filter:describe"
"org.junit.runners.Suite:validate","org.junit.internal.runners.MethodValidator:validateInstanceMethods"
"org.junit.internal.runners.ErrorReportingRunner:run","org.junit.runner.notification.RunNotifier:testAborted"
"org.junit.runners.Suite:run","org.junit.runners.Suite:getDescription"
"junit.runner.BaseTestRunner:endTest","junit.runner.BaseTestRunner:testEnded"
"junit.textui.ResultPrinter:printDefect","junit.textui.ResultPrinter:printDefectTrace"
"org.junit.runners.Parameterized:getParametersMethod","org.junit.internal.runners.TestClass:getAnnotatedMethods"
"junit.framework.TestCase:runBare","junit.framework.TestCase:setUp"
"org.junit.internal.requests.ClassRequest:getRunner","org.junit.internal.requests.ClassRequest:buildRunner"
"junit.textui.ResultPrinter:printFooter","junit.framework.TestResult:errorCount"
"org.junit.experimental.theories.internal.TheoryMethod:invoke","org.junit.experimental.theories.internal.TheoryMethod:runWithDiscoveredParameterValues"
"org.junit.runner.JUnitCore:main","org.junit.runner.JUnitCore:runMain"
"junit.framework.TestCase:run","junit.framework.TestResult:run"
"junit.framework.TestCase:runBare","junit.framework.TestCase:tearDown"
"org.junit.internal.runners.CompositeRunner:getDescription","org.junit.runner.Description:addChild"
"junit.textui.TestRunner:start","junit.textui.TestRunner:extractClassName"
"junit.textui.TestRunner:doRun","junit.framework.TestResult:addListener"
"org.junit.internal.runners.JUnit4ClassRunner:getDescription","org.junit.runner.Description:addChild"
"org.junit.runner.JUnitCore:run","org.junit.runner.notification.RunNotifier:fireTestRunFinished"
"junit.framework.TestCase:run","junit.framework.TestCase:createResult"
"org.junit.internal.runners.JUnit38ClassRunner:makeDescription","junit.framework.TestSuite:testCount"
"org.junit.matchers.SubstringMatcher:matchesSafely","org.junit.matchers.SubstringMatcher:evalSubstringOf"
"org.junit.runner.JUnitCore:run","org.junit.runner.JUnitCore:removeListener"
"org.junit.internal.runners.JUnit38ClassRunner:sort","junit.framework.JUnit4TestAdapter:sort"
