"junit.swingui.TestRunner:browseTestClasses","junit.swingui.TestRunner:setSuite"
"junit.runner.BaseTestRunner:processArguments","junit.runner.BaseTestRunner:extractClassName"
"junit.awtui.Logo:paintBackground","junit.awtui.Logo:getBounds"
"junit.awtui.TestRunner:createUI","junit.awtui.TestRunner:addGrid"
"junit.framework.TestSuite:toString","junit.framework.TestSuite:getName"
"junit.textui.ResultPrinter:printDefectTrace","junit.framework.TestFailure:trace"
"junit.awtui.ProgressBar:reset","junit.awtui.ProgressBar:paint"
"junit.framework.TestResult:run","junit.framework.TestResult:runProtected"
"junit.swingui.TestTreeModel:getChild","junit.swingui.TestTreeModel:isTestSuite"
"junit.textui.ResultPrinter:printHeader","junit.textui.ResultPrinter:getWriter"
"junit.extensions.RepeatedTest:run","junit.framework.TestResult:shouldStop"
"junit.swingui.TestTreeModel:getChild","junit.framework.TestSuite:testAt"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createUseLoaderCheckBox"
"junit.swingui.TestRunner:reset","junit.swingui.CounterPanel:reset"
"junit.runner.BaseTestRunner:loadSuiteClass","junit.runner.BaseTestRunner:getLoader"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createCounterPanel"
"junit.textui.TestRunner:pause","junit.textui.ResultPrinter:printWaitPrompt"
"junit.awtui.TestRunner:testFailed","junit.framework.TestResult:failureCount"
"junit.textui.ResultPrinter:printErrors","junit.framework.TestResult:errors"
"junit.framework.TestFailure:isFailure","junit.framework.TestFailure:thrownException"
"junit.framework.TestResult:runProtected","junit.framework.TestResult:addError"
"junit.framework.TestSuite:addTestMethod","junit.framework.TestSuite:addTest"
"junit.swingui.TestRunner:showInfo","junit.swingui.StatusLine:showInfo"
"junit.awtui.TestRunner:about","junit.awtui.AboutDialog:setLocation"
"junit.runner.BaseTestRunner:processArguments","junit.runner.BaseTestRunner:setLoading"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createTestRunViews"
"junit.framework.TestFailure:exceptionMessage","junit.framework.TestFailure:thrownException"
"junit.framework.TestSuite:addTestSuite","junit.framework.TestSuite:addTest"
"junit.framework.TestSuite:run","junit.framework.TestSuite:runTest"
"junit.swingui.TestRunner:textChanged","junit.swingui.TestRunner:clearStatus"
"junit.runner.BaseTestRunner:startTest","junit.runner.BaseTestRunner:testStarted"
"junit.swingui.ProgressBar:step","junit.swingui.ProgressBar:setValue"
"junit.textui.TestRunner:runSingleMethod","junit.textui.TestRunner:doRun"
"junit.framework.TestCase:runBare","junit.framework.TestCase:runTest"
"junit.framework.TestSuite:run","junit.framework.TestSuite:tests"
"junit.swingui.ProgressBar:start","junit.swingui.ProgressBar:reset"
"junit.textui.ResultPrinter:printFailures","junit.framework.TestResult:failureCount"
"junit.swingui.TestRunner:browseTestClasses","junit.swingui.TestSelector:isEmpty"
"junit.swingui.TestRunner:start","junit.swingui.TestRunner:setSuite"
"junit.runner.LoadingTestCollector:isTestClass","junit.runner.LoadingTestCollector:hasSuiteMethod"
"junit.textui.ResultPrinter:print","junit.textui.ResultPrinter:printHeader"
"junit.awtui.TestRunner:rerunTest","junit.framework.TestResult:wasSuccessful"
"junit.swingui.TestRunner:createUI","junit.swingui.TestRunner:createLogo"
"junit.swingui.TestTreeModel:getChildCount","junit.framework.TestSuite:testCount"
"junit.swingui.TestTreeModel:getIndexOfChild","junit.framework.TestSuite:tests"
"junit.framework.TestSuite:run","junit.framework.TestResult:shouldStop"
"junit.swingui.StatusLine:showInfo","junit.swingui.StatusLine:setForeground"
"junit.awtui.TestRunner:start","junit.awtui.TestRunner:createUI"
"junit.swingui.TestHierarchyRunView:testSelected","junit.swingui.TestHierarchyRunView:getSelectedTest"
"junit.swingui.TestRunner:createUseLoaderCheckBox","junit.swingui.TestRunner:useReloadingTestSuiteLoader"
"junit.swingui.TestRunner:start","junit.swingui.TestRunner:createUI"
"junit.swingui.TestRunner:rerunTest","junit.framework.TestResult:errorCount"
"junit.swingui.TestTreeModel:findTest","junit.framework.TestSuite:testAt"
"junit.swingui.TestRunner:createTestRunViews","junit.swingui.TestHierarchyRunView:addTab"
"junit.swingui.TestSelector:addListeners","junit.swingui.TestSelector:addWindowListener"
"junit.textui.TestRunner:doRun","junit.textui.ResultPrinter:print"
"junit.swingui.TestRunner:showFailureDetail","junit.framework.TestFailure:failedTest"
"junit.runner.ClassPathTestCollector:collectFilesInPath","junit.runner.ClassPathTestCollector:splitClassPath"
